customer_id,quarter_start,quarter_label,active_last_quarter,active_this_quarter,churned
C-0001,2025-07-01,2025-Q3,0,0,0
C-0001,2025-10-01,2025-Q4,0,0,0
C-0001,2026-01-01,2026-Q1,0,0,0
C-0001,2026-04-01,2026-Q2,0,0,0
C-0002,2025-07-01,2025-Q3,0,1,0
C-0002,2025-10-01,2025-Q4,1,1,0
C-0002,2026-01-01,2026-Q1,1,1,0
C-0002,2026-04-01,2026-Q2,1,1,0
C-0003,2025-07-01,2025-Q3,0,0,0
C-0003,2025-10-01,2025-Q4,0,1,0
C-0003,2026-01-01,2026-Q1,1,1,0
C-0003,2026-04-01,2026-Q2,1,1,0
C-0004,2025-07-01,2025-Q3,0,1,0
C-0004,2025-10-01,2025-Q4,1,1,0
C-0004,2026-01-01,2026-Q1,1,0,1
C-0004,2026-04-01,2026-Q2,0,0,0
C-0005,2025-07-01,2025-Q3,0,1,0
C-0005,2025-10-01,2025-Q4,1,1,0
C-0005,2026-01-01,2026-Q1,1,1,0
C-0005,2026-04-01,2026-Q2,1,0,1
C-0006,2025-07-01,2025-Q3,0,0,0
C-0006,2025-10-01,2025-Q4,0,0,0
C-0006,2026-01-01,2026-Q1,0,0,0
C-0006,2026-04-01,2026-Q2,0,1,0
C-0007,2025-07-01,2025-Q3,0,1,0
C-0007,2025-10-01,2025-Q4,1,1,0
C-0007,2026-01-01,2026-Q1,1,1,0
C-0007,2026-04-01,2026-Q2,1,1,0
C-0008,2025-07-01,2025-Q3,0,1,0
C-0008,2025-10-01,2025-Q4,1,0,1
C-0008,2026-01-01,2026-Q1,0,0,0
C-0008,2026-04-01,2026-Q2,0,0,0
C-0009,2025-07-01,2025-Q3,0,1,0
C-0009,2025-10-01,2025-Q4,1,1,0
C-0009,2026-01-01,2026-Q1,1,1,0
C-0009,2026-04-01,2026-Q2,1,1,0
C-0010,2025-07-01,2025-Q3,0,1,0
C-0010,2025-10-01,2025-Q4,1,1,0
C-0010,2026-01-01,2026-Q1,1,1,0
C-0010,2026-04-01,2026-Q2,1,1,0
C-0011,2025-07-01,2025-Q3,0,1,0
C-0011,2025-10-01,2025-Q4,1,1,0
C-0011,2026-01-01,2026-Q1,1,1,0
C-0011,2026-04-01,2026-Q2,1,0,1
C-0012,2025-07-01,2025-Q3,0,0,0
C-0012,2025-10-01,2025-Q4,0,1,0
C-0012,2026-01-01,2026-Q1,1,1,0
C-0012,2026-04-01,2026-Q2,1,1,0
C-0013,2025-07-01,2025-Q3,0,0,0
C-0013,2025-10-01,2025-Q4,0,0,0
C-0013,2026-01-01,2026-Q1,0,0,0
C-0013,2026-04-01,2026-Q2,0,1,0
C-0014,2025-07-01,2025-Q3,0,1,0
C-0014,2025-10-01,2025-Q4,1,1,0
C-0014,2026-01-01,2026-Q1,1,1,0
C-0014,2026-04-01,2026-Q2,1,1,0
C-0015,2025-07-01,2025-Q3,0,1,0
C-0015,2025-10-01,2025-Q4,1,1,0
C-0015,2026-01-01,2026-Q1,1,1,0
C-0015,2026-04-01,2026-Q2,1,1,0
C-0016,2025-07-01,2025-Q3,0,0,0
C-0016,2025-10-01,2025-Q4,0,0,0
C-0016,2026-01-01,2026-Q1,0,0,0
C-0016,2026-04-01,2026-Q2,0,0,0
C-0017,2025-07-01,2025-Q3,0,1,0
C-0017,2025-10-01,2025-Q4,1,1,0
C-0017,2026-01-01,2026-Q1,1,1,0
C-0017,2026-04-01,2026-Q2,1,1,0
C-0018,2025-07-01,2025-Q3,0,0,0
C-0018,2025-10-01,2025-Q4,0,1,0
C-0018,2026-01-01,2026-Q1,1,1,0
C-0018,2026-04-01,2026-Q2,1,1,0
C-0019,2025-07-01,2025-Q3,0,1,0
C-0019,2025-10-01,2025-Q4,1,0,1
C-0019,2026-01-01,2026-Q1,0,1,0
C-0019,2026-04-01,2026-Q2,1,1,0
C-0020,2025-07-01,2025-Q3,0,1,0
C-0020,2025-10-01,2025-Q4,1,1,0
